,Catalog No.,Product Name,Clinical Research Yes/NO,FDA Approved Yes/No,M.w.,CAS Number,Form,Targets,Information,Smiles,Max Solubility in DMSO,URL,Pathway,Compound ID,Well,Rack,Barcode,CID
101,S2013,PF-573228,,,491.49,869288-64-2,free base,FAK,"PF-573228 is an ATP-competitive inhibitor of FAK with IC50 of 4 nM, ~50- to 250-fold selective for FAK than Pyk2, CDK1/7 and GSK-3β.",N1C(CCC2C=C(C=CC1=2)NC3N=C(C(=CN=3)C(F)(F)F)NCC4C=C(C=CC=4)S(=O)(=O)C)=O,52,http://www.selleckchem.com/products/pf-573228.html,Angiogenesis,K00964d,A9,L1200-2,0187172823,11612883
102,S1181,ENMD-2076,Yes,,375.47,934353-76-1,tartaric acid,"Aurora Kinase,FLT3,VEGFR","ENMD-2076 has selective activity against Aurora A and Flt3 with IC50 of 14 nM and 1.86 nM, 25-fold selective for Aurora A than over Aurora B and less potent to VEGFR2/KDR and VEGFR3, FGFR1 and FGFR2 and PDGFRα. Phase 2.",C1(N=C(C=C(N=1)N2CCN(CC2)C)NC3=NNC(=C3)C)/C=C/C4C=CC=CC=4,279,http://www.selleckchem.com/products/ENMD-2076.html,Angiogenesis,K06355a,B1,L1200-2,0187172808,16041424
103,S2185,AST-1306,,,621.08,1050500-29-2,mesylate,EGFR,"AST-1306 is a novel irreversible inhibitor of EGFR and ErbB2 with IC50 of 0.5 nM and 3 nM, also effective in mutation EGFR T790M/L858R, more potent to ErbB2-overexpressing cells, 3000-fold selective for ErbB family than other kinases,  ",C(C=C)(=O)NC1(=CC2=C(N=CN=C(C=C1)2)NC3C=C(C(=CC=3)OCC4C=C(C=CC=4)F)Cl).C5=CC(=CC=C5S(O)(=O)=O)C,199,http://www.selleckchem.com/products/ast-1306.html,Protein Tyrosine Kinase,K06430a,B10,L1200-2,0187172817,25027665
104,S2207,PIK-293,,,397.43,900185-01-5,free base,PI3K,"PIK-293 is a PI3K inhibitor, mostly for PI3Kδ with IC50 of 0.24 μM, 500-, 100- and 50-fold less potent to PI3Kα/β/γ, respectively.",C1(N(C(C2=C(N=1)C=CC=C2C)=O)C3=C(C=CC=C3)C)CN4N=CC5=C4N=CN=C5N,201,http://www.selleckchem.com/products/PIK-293.html,PI3K/Akt/mTOR,K06386a,B11,L1200-2,0187172818,53245636
105,S1244,Amuvatinib (MP-470),Yes,,447.51,850879-09-3,free base,"FLT3,c-RET,PDGFR,c-Kit","Amuvatinib (MP-470) is a potent and multi-targeted inhibitor of c-Kit, PDGFRα and Flt3 with IC50 of 10 nM, 40 nM and 81 nM, respectively. Phase 2.",C1=CC=C2C(=C1)C3=C(O2)C(=NC=N3)N4CCN(CC4)C(=S)NCC5=CC=C6C(=C5)OCO6,71,http://www.selleckchem.com/products/MP-470.html,Protein Tyrosine Kinase,K04366b,B2,L1200-2,0187170697,11282283
106,S1342,Genistein,Yes,Yes,270.24,446-72-0,free base,"Topoisomerase,EGFR","Genistein, a phytoestrogen found in soy products, is a highly specific inhibitor of protein tyrosine kinase (PTK)  which blocks the mitogenic effect mediated by EGF on NIH-3T3 cells with IC50 of 12μM or by insulin with IC50 of 19 μM. ",C1(=CC2=C(C(=C1)O)C(C(=CO2)C3=CC=C(C=C3)O)=O)O,199,http://www.selleckchem.com/products/Genistein.html,Protein Tyrosine Kinase,K00046c,B3,L1200-2,0187172810,5280961
107,S1451,Aurora A Inhibitor I,,,588.07,1158838-45-9,free base,Aurora Kinase,"Aurora A Inhibitor I is a novel, potent, and selective inhibitor of Aurora A with IC50 of 3.4 nM. It is 1000-fold more selective for Aurora A than Aurora B.",N1=CC(=C(N=C1NC2=CC=C(C=C2)CC(N3CCN(CC3)CC)=O)NC4=CC=C(C=C4)C(NC5=CC=CC=C5Cl)=O)F,200,http://www.selleckchem.com/products/Aurora-A-Inhibitor-I.html,Cell Cycle,K06365a,B4,L1200-2,0187172811,44139710
108,S1475,Pimasertib (AS-703026),Yes,,431.2,1236699-92-5,free base,MEK,"AS-703026 is a highly selective, potent, ATP non-competitive allosteric inhibitor of MEK1/2 with IC50 of 5 nM-2 μM in MM cell lines. Phase 1/2.",C1=C(C=CC(=C1F)NC2=CN=CC=C2C(NC[C@@H](CO)O)=O)I,199,http://www.selleckchem.com/products/AS703026.html,MAPK,K04271b,B5,L1200-2,0187172812,44187362
109,S1523,SAR245409 (XL765),Yes,,599.66,1349796-36-6,free base,"PI3K,mTOR","SAR245409 (XL765) is a dual inhibitor of mTOR/PI3K, mostly for p110γ with IC50 of 9 nM; also inhibits DNA-PK and mTOR. Phase 1/2.",C12=CC=CC=C1N=C(C(=N2)NC3=CC(=CC(=C3)OC)OC)NS(C4=CC=C(C=C4)NC(=O)C5=CC=C(C(=C5)OC)C)(=O)=O,20,http://www.selleckchem.com/products/XL765(SAR245409).html#,PI3K/Akt/mTOR,K04294b,B6,L1200-2,0187172813,49867926
110,S1536,CP-673451,,,417.5,343787-29-1,free base,PDGFR,"CP 673451 is a selective inhibitor of PDGFRα/β with IC50 of 10 nM/1 nM, exhibits >450-fold selectivity over other angiogenic receptors, has antiangiogenic and antitumor activity.",C1=CC(=C2C(=C1)C=CC(=N2)N3C4=CC=C(C=C4N=C3)OCCOC)N5CCC(CC5)N,100,http://www.selleckchem.com/products/CP-673451.html,Protein Tyrosine Kinase,K06439a,B7,L1200-2,0187172814,10158940
111,S1572,BS-181 HCl,,,416.99,1397219-81-6 ,hydrochloride,CDK,"BS-181 is a highly selective CDK7 inhibitor with IC50 of 21 nM. It is more than 40-fold selective for CDK7 than CDK1, 2, 4, 5, 6, or 9.",C1(=CC(=NC2N1N=CC=2C(C)C)NCCCCCCN)NCC3(=CC=CC=C3).Cl,199,http://www.selleckchem.com/products/BS-181.html,Cell Cycle,K04227b,B8,L1200-2,0187172815,49867928
112,S2014,BMS-265246,,,345.34,582315-72-8,free base,CDK,BMS-265246 is a potent and selective CDK1/2 inhibitor with IC50 of 6 nM/9 nM. It is 25-fold more selective for CDK1/2 than CDK4.,C(=O)(C1C(=CC(=CC=1F)C)F)C2C(=C3C(=NC=2)NN=C3)OCCCC,57,http://www.selleckchem.com/products/bms-265246.html,Cell Cycle,K06431a,B9,L1200-2,0187172816,135402864
113,S1194,CUDC-101,Yes,,434.49,1012054-59-9,free base,"HDAC,HER2,EGFR","CUDC-101 is a potent multi-targeted inhibitor against HDAC, EGFR and HER2 with IC50 of 4.4 nM, 2.4 nM, and 15.7 nM, and inhibits class I/II HDACs, but not class III, Sir-type HDACs. Phase 1.",C12=C(N=CN=C1NC3=CC(=CC=C3)C#C)C=C(C(=C2)OCCCCCCC(NO)=O)OC,46,http://www.selleckchem.com/products/CUDC-101.html,Epigenetics,K04273b,C1,L1200-2,0187172807,24756910
114,S2192,AZD8931 (Sapitinib),Yes,,473.93,848942-61-0,free base,"HER2,EGFR","AZD8931 is a reversible, ATP competitive inhibitor of EGFR, ErbB2 and ErbB3 with IC50 of 4 nM, 3 nM and 4 nM, more potent than Gefitinib or Lapatinib against NSCLC cell, 100-fold more selective for the ErbB family than MNK1 and Flt. Phase 1/2.",C1(=C(C=C2C(=C1)C(=NC=N2)NC3=C(F)C(=CC=C3)Cl)OC)OC4CCN(CC4)CC(NC)=O,84,http://www.selleckchem.com/products/AZD8931.html,Protein Tyrosine Kinase,K06382a,C10,L1200-2,0187172798,11488320
115,S2214,AZ 960,,,354.36,905586-69-8,free base,JAK,"AZ 960 is a novel ATP competitive JAK2 inhibitor with IC50 and Ki of <3 nM and 0.45 nM, 3-fold selectivity of AZ960 for JAK2 over JAK3.",C1=C(C(=NC(=C1F)NC2C=C(NN=2)C)N[C@H](C3=CC=C(C=C3)F)C)C#N,200,http://www.selleckchem.com/products/AZ-960.html,JAK/STAT,K06387a,C11,L1200-2,0187172797,25099184
116,S1249,JNJ-7706621,,,394.36,443797-96-4,free base,"CDK,Aurora Kinase",JNJ-7706621 is pan-CDK inhibitor with the highest potency on CDK1/2 with IC50 of 9 nM/4 nM and showing >6-fold selectivity for CDK1/2 than CDK3/4/6. It also potently inhibits Aurora A/B and has no activity on Plk1 and Wee1.,C1(=CC=C(C=C1)NC2N=C(N(N=2)C(C3=C(C=CC=C3F)F)=O)N)S(N)(=O)=O,200,http://www.selleckchem.com/products/JNJ-7706621.html,Cell Cycle,K00616d,C2,L1200-2,0187172806,5330790
117,S1352,TG100-115,Yes,,346.34,677297-51-7,free base,PI3K,"TG100115 is a PI3Kγ/δ inhibitor with IC50 of 83 nM/235 nM, with little effect on PI3Kα/β. Phase 1/2.",C1(=C(N=C2C(=N1)C(=NC(=N2)N)N)C3=CC=CC(=C3)O)C4=CC(=CC=C4)O,25,http://www.selleckchem.com/products/TG100-115.html,PI3K/Akt/mTOR,K06360a,C3,L1200-2,0187172805,10427712
118,S1454,PHA-680632,,,501.62,398493-79-3,free base,Aurora Kinase,"PHA-680632 is potent inhibitor of Aurora A, Aurora B and Aurora C with IC50 of 27 nM, 135 nM and 120 nM, respectively. It has 10- to 200-fold higher IC50 for FGFR1, FLT3, LCK, PLK1, STLK2, and VEGFR2/3. ",C1(=CC=C(C=C1)C(=O)NC2C3=C(NN=2)CN(C3)C(=O)NC4=C(C=CC=C4CC)CC)N5CCN(CC5)C,199,http://www.selleckchem.com/products/PHA-680632.html,Cell Cycle,K04236b,C4,L1200-2,0187172804,11249084
119,S1485,HMN-214,,,424.47,173529-46-9,free base,PLK,"HMN-214 is a prodrug of HMN-176, which alters the cellular spatial orientation of Plk1.",C1=CC=CC(=C1N(S(C2=CC=C(C=C2)OC)(=O)=O)C(C)=O)/C=C/C3=CC=[N+](C=C3)[O-],28,http://www.selleckchem.com/products/HMN-214.html,Cell Cycle,K06367a,C5,L1200-2,0187172803,9888590
120,S1524,AT7519,Yes,,382.24,844442-38-2,free base,CDK,"AT7519 is a multi-CDK inhibitor for CDK1, 2, 4, 6 and 9 with IC50 of 10-210 nM. It is less potent to CDK3 and little active to CDK7. Phase 1.",C1=C(C(=C(C=C1)Cl)C(NC2=CNN=C2C(=O)NC3CCNCC3)=O)Cl,26,http://www.selleckchem.com/products/AT7519.html,Cell Cycle,K05651b,C6,L1200-2,0187172802,11338033
121,S1555,AZD8055,Yes,,465.54,1009298-09-2,free base,mTOR,"AZD8055 is a novel ATP-competitive mTOR inhibitor with IC50 of 0.8 nM with excellent selectivity (∼1,000-fold) against PI3K isoforms and ATM/DNA-PK. Phase 1.",C1(=C(C=CC(=C1)C2=NC3=C(C=C2)C(=NC(=N3)N4[C@H](COCC4)C)N5[C@H](COCC5)C)OC)CO,199,http://www.selleckchem.com/products/AZD8055.html,PI3K/Akt/mTOR,K04264b,C7,L1200-2,0187172801,25262965
122,S1573,Fasudil (HA-1077) HCl,Yes,,327.83,105628-07-7,hydrochloride,"ROCK,Autophagy","Fasudil (HA-1077) is a potent inhibitor of ROCK-II, PKA,  PKG,  PKC, and MLCK with Ki of 0.33 μM, 1.6 μM, 1.6 μM, 3.3 μM and 36 μM, respectively.  ",C1(=C2C(=C(C=C1)S(N3CCNCCC3)(=O)=O)C=CN=C2).Cl,15,http://www.selleckchem.com/products/Fasudil-HCl(HA-1077).html,Cell Cycle,K05958b,C8,L1200-2,0187172800,163751
123,S2134,AZD8330,Yes,,461.23,869357-68-6,free base,MEK,"AZD8330 is a novel, selective, non-ATP competitive MEK 1/2 inhibitor with IC50 of 7 nM. Phase 1.",C1=C(C=CC(=C1F)NC2N(C(C(=CC=2C(NOCCO)=O)C)=O)C)I,199,http://www.selleckchem.com/products/AZD8330(ARRY-424704).html,MAPK,K04364b,C9,L1200-2,0187172799,16666708
124,S1205,PIK-75,,,488.74,372196-77-5,hydrochloride,"PI3K,DNA-PK","PIK-75 is a p110α inhibitor with IC50 of 5.8 nM (200-fold more potently than p110β), isoform-specific mutants at Ser773, and also potently inhibits DNA-PK with IC50 of 2 nM.",C1(C(=CN2C(C=1)=NC=C2/C=N/N(S(C3=C(C=CC(=C3)[N+](=O)[O-])C)(=O)=O)C)Br).Cl,10,http://www.selleckchem.com/products/PIK-75-Hydrochloride.html,PI3K/Akt/mTOR,K06356a,D1,L1200-2,0187172784,45265864
125,S2193,GSK461364,Yes,,543.6,929095-18-1,free base,PLK,GSK461364 inhibits purified Plk1 with Ki of 2.2 nM. It is more than 1000-fold selective against Plk2/3. Phase 1.,C1N(CCN(C1)CC2=CC3=C(C=C2)N=CN3C4=CC(=C(S4)C(=O)N)O[C@H](C)C5=CC=CC=C5C(F)(F)F)C,18,http://www.selleckchem.com/products/GSK461364.html,Cell Cycle,K04997b,D10,L1200-2,0187172793,15983966
126,S2216,Mubritinib (TAK 165),Yes,,468.47,366017-09-6,free base,HER2,"Mubritinib (TAK-165) is a potent inhibitor of HER2/ErbB2 with IC50 of 6 nM; no activity to EGFR, FGFR, PDGFR, JAK1, Src and Blk.",C1=C(C=CC(=C1)/C=C/C2OC=C(N=2)COC3=CC=C(C=C3)CCCCN4N=NC=C4)C(F)(F)F,27,http://www.selleckchem.com/products/Mubritinib-TAK-165.html,Protein Tyrosine Kinase,K06388a,D11,L1200-2,0187172794,6444692
127,S1264,PD173074,,,523.67,219580-11-7,free base,"VEGFR,FGFR","PD173074 is a potent FGFR1 inhibitor with IC50 of ~25 nM and also inhibits VEGFR2 with IC50 of 100-200 nM, ~1000-fold selective for FGFR1 than PDGFR and c-Src.",N1=C(N=C2C(=C1)C=C(C(=N2)NC(NC(C)(C)C)=O)C3=CC(=CC(=C3)OC)OC)NCCCCN(CC)CC,190,http://www.selleckchem.com/products/PD-173074.html,Angiogenesis,K00747d,D2,L1200-2,0187172785,1401
128,S1360,GSK1059615,Yes,,333.36,958852-01-2,free base,"PI3K,mTOR","GSK1059615 is a dual inhibitor of PI3Kα/β/δ/γ (reversible) and mTOR with IC50 of 0.4 nM/0.6 nM/2 nM/5 nM and 12 nM, respectively. Phase 1.",C1(=CC=C2C(=C1)C(=CC=N2)C3=CC=NC=C3)/C=C4/C(NC(S4)=O)=O,10,http://www.selleckchem.com/products/GSK1059615.html,PI3K/Akt/mTOR,K06361a,D3,L1200-2,0187172786,23582824
129,S1458,VX-745,,,436.26,209410-46-8,free base,p38 MAPK,"VX-745 is a potent and selective inhibitor of p38α with IC50 of 10 nM, 22-fold greater selectivity versus p38β and no inhibition to p38γ.",C1=C(C=CC(=C1F)SC2C=CC3N(N=2)C=NC(C=3C4=C(C=CC=C4Cl)Cl)=O)F,34,http://www.selleckchem.com/products/VX-745.html,MAPK,K06468a,D4,L1200-2,0187172787,3038525
130,S1486,AEE788 (NVP-AEE788),Yes,,440.58,497839-62-0,free base,"HER2,VEGFR,EGFR","AEE788 is a potent inhibitor of EGFR and HER2/ErbB2 with IC50 of 2 nM and 6 nM, less potent to VEGFR2/KDR, c-Abl, c-Src, and Flt-1, does not inhibit Ins-R, IGF-1R, PKCα and CDK1. Phase 1/2.",C1=NC(=C2C(=N1)NC(=C2)C3=CC=C(C=C3)CN4CCN(CC4)CC)N[C@@H](C5=CC=CC=C5)C,199,http://www.selleckchem.com/products/AEE788.html,Protein Tyrosine Kinase,K06368a,D5,L1200-2,0187172788,10297043
131,S1526,Quizartinib (AC220),Yes,,560.67,950769-58-1,free base,FLT3,"Quizartinib (AC220) is a second-generation FLT3 inhibitor for Flt3(ITD/WT) with IC50 of 1.1 nM/4.2 nM, 10-fold more selective for Flt3 than KIT, PDGFRα, PDGFRβ, RET, and CSF-1R. Phase 1/2.",C1=C(C=CC(=C1)C2N=C3N(C=2)C4C(S3)=CC(=CC=4)OCCN5CCOCC5)NC(NC6C=C(ON=6)C(C)(C)C)=O,59,http://www.selleckchem.com/products/AC-220.html,Angiogenesis,K04304b,D6,L1200-2,0187172789,24889392
132,S1556,PHT-427,,,409.61,1191951-57-1,free base,"PDK-1,Akt","PHT-427 is a dual Akt and PDPK1 inhibitor (high affinity binding for the PH domains of Akt and PDPK1) with Ki of 2.7 μM and 5.2 μM, respectively.",C1=C(C=CC(=C1)S(=O)(NC2=NN=CS2)=O)CCCCCCCCCCCC,200,http://www.selleckchem.com/products/PHT-427.html,PI3K/Akt/mTOR,K06374a,D7,L1200-2,0187172790,44240850
133,S1574,BIRB 796 (Doramapimod),Yes,,527.66,285983-48-4,free base,p38 MAPK,"BIRB 796 (Doramapimod) is a highly selective p38α MAPK inhibitor with Kd of 0.1 nM, 330-fold greater selectivity versus JNK2, weak inhibition for c-RAF, Fyn and Lck, insignificant inhibition of ERK-1, SYK, IKK2, ZAP-70, EGFR, HER2, PKA, PKC, PKCα/β/γ.",C1=C(C2=C(C(=C1)OCCN3CCOCC3)C=CC=C2)NC(NC4=CC(=NN4C5=CC=C(C=C5)C)C(C)(C)C)=O,200,http://www.selleckchem.com/products/BIRB-796-(Doramapimod).html,MAPK,K00626d,D8,L1200-2,0187172791,156422
134,S2150,Neratinib (HKI-272),Yes,,557.04,698387-09-6,free base,"HER2,EGFR","Neratinib (HKI-272) is a highly selective HER2 and EGFR inhibitor with IC50 of 59 nM and 92 nM; weakly inhibits KDR and Src, no significant inhibition to Akt, CDK1/2/4, IKK-2, MK-2, PDK1, c-Raf and c-Met. Phase 3.",C1(=C(C=C2C(=C1)N=CC(=C2NC3=CC=C(C(=C3)Cl)OCC4=NC=CC=C4)C#N)NC(/C=C/CN(C)C)=O)OCC,10,http://www.selleckchem.com/products/Neratinib(HKI-272).html,Protein Tyrosine Kinase,K04349b,D9,L1200-2,0187172792,9915743
135,S1207,Tivozanib (AV-951),Yes,,454.86,475108-18-0,free base,"VEGFR,PDGFR,c-Kit","Tivozanib (AV-951) is a potent and selective VEGFR inhibitor for VEGFR1/2/3 with IC50 of 30 nM/6.5 nM/15 nM, and also inhibits PDGFR and c-Kit, low activity observed against FGFR-1, Flt3, c-Met EGFR and IGF-1R. Phase 3.",C1(=CC=C(C(=C1)Cl)NC(=O)NC2C=C(ON=2)C)OC3=CC=NC4=C3C=C(C(=C4)OC)OC,43,http://www.selleckchem.com/products/AV-951.html,Protein Tyrosine Kinase,K04257c,E1,L1200-2,0187172783,9911830
136,S2194,R406,,,628.63,841290-81-1,besylate,"Syk,FLT3","R406 is a potent Syk inhibitor with IC50 of 41 nM, strongly inhibits Syk but not Lyn, 5-fold less potent to Flt3. Phase 2.",C1(=C(C=C(C=C1OC)NC2=NC(=C(C=N2)F)NC3=NC4=C(C=C3)OC(C(N4)=O)(C)C)OC)OC.C5=CC=CC(=C5)S(O)(=O)=O,200,http://www.selleckchem.com/products/R406.html,Angiogenesis,K04323c,E10,L1200-2,0187172774,11984591
137,S2218,PP242,,,308.34,1092351-67-1,free base,"mTOR,Autophagy","PP242 is a selective mTOR inhibitor with IC50 of 8 nM; targets both mTOR complexes with >10- and 100-fold selectivity for mTOR than PI3Kδ or PI3Kα/β/γ, respectively.",N1=CN=C2C(=C1N)C(=NN2C(C)C)C3NC4=C(C=3)C=C(C=C4)O,201,http://www.selleckchem.com/products/PP242.html,PI3K/Akt/mTOR,K04139b,E11,L1200-2,0187172773,135565635
138,S1266,WYE-354,,,495.53,1062169-56-5,free base,mTOR,"WYE-354 is a potent, specific and ATP-competitive inhibitor of mTOR with IC50 of 5 nM, blocks mTORC1/P-S6K(T389) and mTORC2/P-AKT(S473) not P-AKT(T308), selective for mTOR than PI3Kα (>100-fold) and PI3Kγ (>500-fold). ",C1=C(C=CC(=C1)C2=NC3=C(C(=N2)N4CCOCC4)C=NN3C5CCN(CC5)C(=O)OC)NC(OC)=O,199,http://www.selleckchem.com/products/WYE-354.html,PI3K/Akt/mTOR,K06359a,E2,L1200-2,0187172782,44219749
139,S1361,MGCD-265,Yes,,517.6,875337-44-3,free base,"Tie-2,VEGFR,c-Met","MGCD-265 is a potent, multi-target and ATP-competitive inhibitor of c-Met and VEGFR1/2/3 with IC50 of 1 nM, 3 nM/3 nM/4 nM, respectively; also inhibits Ron and Tie2. Phase 1/2.",C1(=CC=CC=C1)CC(NC(NC2=CC=C(C(=C2)F)OC3=C4C(=NC=C3)C=C(S4)C5N=CN(C=5)C)=S)=O,200,http://www.selleckchem.com/products/MGCD-265.html,Protein Tyrosine Kinase,K04275c,E3,L1200-2,0187172781,24901704
140,S1459,Thiazovivin,,,311.36,1226056-71-8,free base,ROCK,"Thiazovivin (Tzv) is a novel ROCK inhibitor with IC50 of 0.5 μM, promotes hESC survival after single-cell dissociation.",C1(SC=C(N=1)C(NCC2=CC=CC=C2)=O)NC3=CC=NC=N3,48,http://www.selleckchem.com/products/Thiazovivin.html,Cell Cycle,K06366a,E4,L1200-2,0187172780,46209426
141,S1487,PHA-793887,Yes,,361.48,718630-59-2,free base,CDK,"PHA-793887 is a novel and potent inhibitor of CDK2, CDK5 and CDK7 with IC50 of 8 nM, 5 nM and 10 nM. It is greater than 6-fold more selective for CDK2, 5, and 7 than CDK1, 4, and 9. Phase 1.",N1N=C(C2=C1C(N(C2)C(C3CCN(CC3)C)=O)(C)C)NC(CC(C)C)=O,199,http://www.selleckchem.com/products/PHA-793887.html,Cell Cycle,K04237c,E5,L1200-2,0187172779,46191454
142,S1529,Hesperadin,,,516.65,422513-13-1,free base,Aurora Kinase,"Hesperadin potently inhibits Aurora B with IC50 of 250 nM. It markedly reduces the activity of AMPK, Lck, MKK1, MAPKAP-K1, CHK1 and PHK while it does not inhibit MKK1 activity in vivo.",C1(=CC=C2C(=C1)/C(C(N2)=O)=C(\C3=CC=CC=C3)NC4=CC=C(C=C4)CN5CCCCC5)NS(CC)(=O)=O,199,http://www.selleckchem.com/products/Hesperadin.html,Cell Cycle,K04231b,E6,L1200-2,0187172778,135421442
143,S1557,KRN 633,,,416.86,286370-15-8,free base,"PDGFR,VEGFR","KRN 633 is an ATP-competitive inhibitor of VEGFR1/2/3 with IC50 of 170 nM/160 nM/125 nM, weakly inhibits PDGFR-α/β and c-Kit, does not block the phosphorylation of FGFR-1, EGFR or c-Met in cell.",C1(=C(C=C2C(=C1)C(=NC=N2)OC3=CC=C(C(=C3)Cl)NC(=O)NCCC)OC)OC,21,http://www.selleckchem.com/products/KRN-633.html,Protein Tyrosine Kinase,K00589d,E7,L1200-2,0187172777,9549295
144,S1577,Tie2 kinase inhibitor,,,439.53,948557-43-5,free base,Tie-2,"Tie2 kinase inhibitor is an optimized compound of SB-203580, selective to Tie2 with IC50 of 0.25 μM, 200-fold more potent than p38.",C12=C(C=CC(=C1)C3=C(N=C(N3)C4=CC=C(C=C4)S(C)=O)C5=CC=NC=C5)C=C(C=C2)OC,79,http://www.selleckchem.com/products/Tie2-kinase-inhibitor.html,Protein Tyrosine Kinase,K06379a,E8,L1200-2,0187172776,23625762
145,S2158,KW-2449,Yes,,332.4,1000669-72-6,free base,"Aurora Kinase,Bcr-Abl,FLT3","KW-2449 is a multiple-targeted inhibitor, mostly for Flt3 with IC50 of 6.6 nM, modestly potent to FGFR1, Bcr-Abl and Aurora A; little effect on PDGFRβ, IGF-1R, EGFR. Phase 1.",C1=CC=CC2=C1NN=C2/C=C/C3=CC=C(C=C3)C(=O)N4CCNCC4,201,http://www.selleckchem.com/products/KW-2449.html,Angiogenesis,K06017b,E9,L1200-2,0187172775,11427553
146,S1219,YM201636,,,467.48,371942-69-7,free base,PI3K,"YM201636 is a selective PIKfyve inhibitor with IC50 of 33 nM, less potent to p110α and insensitive to Fabl (yeast orthologue).",C1C(=CC=C(N=1)N)C(=O)NC2C=C(C=CC=2)C3N=C4C(=C(N=3)N5CCOCC5)OC6C(=CC=CN=6)4,74,http://www.selleckchem.com/products/ym201636.html,PI3K/Akt/mTOR,K02694b,F1,L1200-2,0187172760,9956222
147,S2198,SGI-1776 free base,Yes,,405.42,1025065-69-3,free base,Pim,"SGI-1776 is a novel ATP competitive inhibitor of Pim1 with IC50 of 7 nM, 50- and 10-fold selective versus Pim2 and Pim3, also potent to Flt3 and haspin. Phase 1.",C1C(=NN2C(C=1)=NC=C2C3=CC=CC(=C3)OC(F)(F)F)NCC4CCN(CC4)C,199,http://www.selleckchem.com/products/SGI-1776.html,JAK/STAT,K00997c,F10,L1200-2,0187172769,24795070
148,S2219,CYT387,Yes,,414.46,1056634-68-4,free base,JAK,"CYT387 is an ATP-competitive inhibitor of JAK1/JAK2 with IC50 of 11 nM/18 nM, ~10-fold selectivity versus JAK3. Phase 1/2.",C1=C(C=CC(=C1)NC2=NC=CC(=N2)C3=CC=C(C=C3)C(NCC#N)=O)N4CCOCC4,200,http://www.selleckchem.com/products/Cyt387.html,JAK/STAT,K04346c,F11,L1200-2,0187172770,25062766
149,S1267,"Vemurafenib (PLX4032, RG7204)",Yes,Yes,489.92,918504-65-1,free base,Raf,"Vemurafenib (PLX4032, RG7204) is a novel and potent inhibitor of B-RafV600E with IC50 of 31 nM.",C1(=CN=C2C(=C1)C(=CN2)C(=O)C3=C(C(=CC=C3F)NS(=O)(=O)CCC)F)C4=CC=C(C=C4)Cl,200,http://www.selleckchem.com/products/PLX-4032.html,MAPK,K04267c,F2,L1200-2,0187172761,42611257
150,S1362,Rigosertib (ON-01910),Yes,,473.47,1225497-78-8,sodium,PLK,Rigosertib (ON-01910) is a non-ATP-competitive inhibitor of PLK1 with IC50 of 9 nM. It shows 30-fold greater selectivity against Plk2 and no activity to Plk3. Phase 3.,C1(=C(C=C(C=C1OC)OC)OC)/C=C/S(CC2=CC=C(C(=C2)NCC([O-])=O)OC)(=O)=O.[Na+],200,http://www.selleckchem.com/products/ON-01910.html,Cell Cycle,K06362a,F3,L1200-2,0187172762,23696523
151,S1460,SP600125,,,220.23,129-56-6,free base,JNK,"SP600125 is a broad-spectrum JNK inhibitor for JNK1, JNK2 and JNK3 with IC50 of 40 nM, 40 nM and 90 nM, respectively; 10-fold greater selectivity against MKK4, 25-fold greater selectivity against MKK3, MKK6, PKB, and PKCα, and 100-fold selectivity against ERK2, p38, Chk1, EGFR etc.",C1C=CC2=C(C=1)C(C3=C4C2=NNC4=CC=C3)=O,199,http://www.selleckchem.com/products/SP600125.html,MAPK,K00218h,F4,L1200-2,0187172763,8515
152,S1489,PIK-93,,,389.88,593960-11-3,free base,PI3K,"PIK-93 is the first potent, synthetic PI4K (PI4KIIIβ) inhibitor with IC50 of 19 nM; shown to inhibit PI3Kα with IC50 of 39 nM.",C1(=C(C=C(C=C1)C2SC(=NC=2C)NC(C)=O)S(=O)(=O)NCCO)Cl,200,http://www.selleckchem.com/products/PIK-93.html,PI3K/Akt/mTOR,K06369a,F5,L1200-2,0187172764,6852167
153,S1530,BIX 02188,,,412.48,1094614-84-2,free base,MEK,"BIX02188 is a selective inhibitor of MEK5 with IC50 of 4.3 nM, also inhibits ERK5 catalytic activity with IC50 of 810 nM, and does not inhibit closely related kinases MEK1, MEK2, ERK2, and JNK2.",C1=C(C=C2C(=C1)/C(C(N2)=O)=C(/NC3=CC(=CC=C3)CN(C)C)C4=CC=CC=C4)C(NC)=O,104,http://www.selleckchem.com/products/BIX-02188.html,MAPK,K06372a,F6,L1200-2,0187172765,135398492
154,S1558,AT7867,,,337.85,857531-00-1,free base,"S6 Kinase,Akt","AT7867 is a potent ATP-competitive inhibitor of Akt1/2/3 and p70S6K/PKA with IC50 of 32 nM/17 nM/47 nM and 85 nM/20 nM, respectively; little activity outside the AGC kinase family.",C1(=CC=C(C=C1)C2(C3=CC=C(C=C3)C4=CNN=C4)CCNCC2)Cl,201,http://www.selleckchem.com/products/AT7867.html,PI3K/Akt/mTOR,K06375a,F7,L1200-2,0187172766,11175137
